Algorithm,MPI_Processes,Allocation,Message_Size,Latency
1,2,socket,1,0.58
1,2,socket,2,0.58
1,2,socket,4,0.58
1,2,socket,8,0.58
1,2,socket,16,0.58
1,2,socket,32,0.69
1,2,socket,64,0.69
1,2,socket,128,0.81
1,2,socket,256,0.83
1,2,socket,512,0.96
1,2,socket,1024,1.04
1,2,socket,2048,1.59
1,2,socket,4096,2.29
1,2,socket,8192,3.30
1,2,socket,16384,5.92
1,2,socket,32768,10.92
1,2,socket,65536,20.75
1,2,socket,131072,40.71
1,2,socket,262144,39.04
1,2,socket,524288,73.85
1,2,socket,1048576,139.55
1,2,node,1,1.71
1,2,node,2,1.72
1,2,node,4,1.71
1,2,node,8,1.71
1,2,node,16,1.71
1,2,node,32,1.82
1,2,node,64,1.87
1,2,node,128,1.78
1,2,node,256,2.43
1,2,node,512,2.58
1,2,node,1024,2.95
1,2,node,2048,2.59
1,2,node,4096,2.96
1,2,node,8192,3.37
1,2,node,16384,4.16
1,2,node,32768,5.70
1,2,node,65536,8.06
1,2,node,131072,13.07
1,2,node,262144,35.91
1,2,node,524288,64.14
1,2,node,1048576,122.02
1,4,socket,1,0.57
1,4,socket,2,0.58
1,4,socket,4,0.61
1,4,socket,8,0.61
1,4,socket,16,0.60
1,4,socket,32,0.69
1,4,socket,64,0.70
1,4,socket,128,0.95
1,4,socket,256,1.02
1,4,socket,512,1.19
1,4,socket,1024,1.13
1,4,socket,2048,1.59
1,4,socket,4096,2.44
1,4,socket,8192,4.03
1,4,socket,16384,7.54
1,4,socket,32768,15.54
1,4,socket,65536,31.29
1,4,socket,131072,56.68
1,4,socket,262144,87.17
1,4,socket,524288,156.59
1,4,socket,1048576,315.49
1,4,node,1,1.00
1,4,node,2,1.00
1,4,node,4,1.00
1,4,node,8,1.00
1,4,node,16,0.99
1,4,node,32,0.99
1,4,node,64,1.12
1,4,node,128,1.10
1,4,node,256,1.31
1,4,node,512,1.54
1,4,node,1024,1.76
1,4,node,2048,1.62
1,4,node,4096,2.01
1,4,node,8192,2.57
1,4,node,16384,3.93
1,4,node,32768,6.81
1,4,node,65536,12.19
1,4,node,131072,23.19
1,4,node,262144,74.82
1,4,node,524288,134.91
1,4,node,1048576,259.47
1,8,socket,1,0.92
1,8,socket,2,1.00
1,8,socket,4,1.00
1,8,socket,8,1.01
1,8,socket,16,1.00
1,8,socket,32,1.13
1,8,socket,64,1.09
1,8,socket,128,1.28
1,8,socket,256,1.43
1,8,socket,512,1.49
1,8,socket,1024,1.54
1,8,socket,2048,2.10
1,8,socket,4096,3.10
1,8,socket,8192,5.44
1,8,socket,16384,9.80
1,8,socket,32768,20.88
1,8,socket,65536,42.10
1,8,socket,131072,92.29
1,8,socket,262144,199.14
1,8,socket,524288,502.74
1,8,socket,1048576,761.31
1,8,node,1,0.61
1,8,node,2,0.61
1,8,node,4,0.62
1,8,node,8,0.62
1,8,node,16,0.62
1,8,node,32,0.67
1,8,node,64,0.73
1,8,node,128,0.81
1,8,node,256,1.02
1,8,node,512,1.16
1,8,node,1024,1.42
1,8,node,2048,1.39
1,8,node,4096,1.79
1,8,node,8192,2.64
1,8,node,16384,4.63
1,8,node,32768,8.56
1,8,node,65536,16.29
1,8,node,131072,32.34
1,8,node,262144,163.81
1,8,node,524288,316.50
1,8,node,1048576,617.54
1,16,socket,1,1.53
1,16,socket,2,1.88
1,16,socket,4,2.06
1,16,socket,8,2.13
1,16,socket,16,2.17
1,16,socket,32,2.24
1,16,socket,64,2.25
1,16,socket,128,2.46
1,16,socket,256,2.65
1,16,socket,512,2.66
1,16,socket,1024,2.87
1,16,socket,2048,3.38
1,16,socket,4096,5.27
1,16,socket,8192,9.48
1,16,socket,16384,18.05
1,16,socket,32768,35.32
1,16,socket,65536,87.66
1,16,socket,131072,179.24
1,16,socket,262144,403.59
1,16,socket,524288,783.08
1,16,socket,1048576,1445.03
1,16,node,1,0.81
1,16,node,2,0.81
1,16,node,4,0.87
1,16,node,8,0.80
1,16,node,16,0.81
1,16,node,32,0.83
1,16,node,64,0.93
1,16,node,128,1.11
1,16,node,256,1.31
1,16,node,512,1.45
1,16,node,1024,1.73
1,16,node,2048,1.63
1,16,node,4096,2.23
1,16,node,8192,3.46
1,16,node,16384,6.30
1,16,node,32768,12.43
1,16,node,65536,24.87
1,16,node,131072,49.68
1,16,node,262144,367.32
1,16,node,524288,694.29
1,16,node,1048576,1367.92
1,32,socket,1,2.71
1,32,socket,2,3.34
1,32,socket,4,3.68
1,32,socket,8,3.49
1,32,socket,16,3.50
1,32,socket,32,3.54
1,32,socket,64,3.59
1,32,socket,128,4.26
1,32,socket,256,4.72
1,32,socket,512,4.99
1,32,socket,1024,5.06
1,32,socket,2048,5.44
1,32,socket,4096,7.11
1,32,socket,8192,12.79
1,32,socket,16384,27.90
1,32,socket,32768,66.04
1,32,socket,65536,141.59
1,32,socket,131072,282.69
1,32,socket,262144,694.25
1,32,socket,524288,1819.74
1,32,socket,1048576,3772.59
1,32,node,1,1.11
1,32,node,2,1.15
1,32,node,4,1.17
1,32,node,8,1.17
1,32,node,16,1.17
1,32,node,32,1.20
1,32,node,64,1.25
1,32,node,128,1.43
1,32,node,256,1.58
1,32,node,512,1.76
1,32,node,1024,1.94
1,32,node,2048,1.86
1,32,node,4096,2.52
1,32,node,8192,4.47
1,32,node,16384,9.07
1,32,node,32768,18.74
1,32,node,65536,37.51
1,32,node,131072,75.37
1,32,node,262144,720.01
1,32,node,524288,1364.80
1,32,node,1048576,2614.61
1,64,socket,1,4.94
1,64,socket,2,5.18
1,64,socket,4,5.05
1,64,socket,8,5.08
1,64,socket,16,4.84
1,64,socket,32,4.78
1,64,socket,64,4.90
1,64,socket,128,5.29
1,64,socket,256,5.53
1,64,socket,512,6.03
1,64,socket,1024,6.27
1,64,socket,2048,9.01
1,64,socket,4096,16.29
1,64,socket,8192,33.79
1,64,socket,16384,104.10
1,64,socket,32768,220.06
1,64,socket,65536,453.31
1,64,socket,131072,843.76
1,64,socket,262144,1870.85
1,64,socket,524288,2821.91
1,64,socket,1048576,5760.14
1,64,node,1,1.53
1,64,node,2,2.27
1,64,node,4,2.35
1,64,node,8,2.22
1,64,node,16,2.21
1,64,node,32,2.28
1,64,node,64,2.39
1,64,node,128,2.47
1,64,node,256,2.64
1,64,node,512,2.82
1,64,node,1024,3.05
1,64,node,2048,2.86
1,64,node,4096,3.77
1,64,node,8192,7.66
1,64,node,16384,15.88
1,64,node,32768,34.17
1,64,node,65536,74.85
1,64,node,131072,149.28
1,64,node,262144,1338.18
1,64,node,524288,2581.91
1,64,node,1048576,6039.69
1,128,socket,1,9.06
1,128,socket,2,8.90
1,128,socket,4,8.82
1,128,socket,8,8.70
1,128,socket,16,8.35
1,128,socket,32,8.23
1,128,socket,64,8.38
1,128,socket,128,9.39
1,128,socket,256,9.89
1,128,socket,512,9.88
1,128,socket,1024,10.55
1,128,socket,2048,13.27
1,128,socket,4096,23.36
1,128,socket,8192,45.81
1,128,socket,16384,109.44
1,128,socket,32768,213.71
1,128,socket,65536,448.90
1,128,socket,131072,888.37
1,128,socket,262144,6936.62
1,128,socket,524288,15150.99
1,128,socket,1048576,12291.66
1,128,node,1,2.39
1,128,node,2,2.46
1,128,node,4,2.49
1,128,node,8,2.48
1,128,node,16,2.47
1,128,node,32,2.42
1,128,node,64,2.46
1,128,node,128,2.71
1,128,node,256,2.90
1,128,node,512,3.04
1,128,node,1024,3.29
1,128,node,2048,3.30
1,128,node,4096,6.15
1,128,node,8192,12.86
1,128,node,16384,29.89
1,128,node,32768,68.17
1,128,node,65536,141.88
1,128,node,131072,259.57
1,128,node,262144,2811.92
1,128,node,524288,5311.93
1,128,node,1048576,10107.74